station_id,station_name,elevation_m,latitude,longitude,date,tmean_c,tmax_c,tmin_c,dtr_c,n_obs_day,precip_mm
khaishi,Khaishi,700,42.57,42.11,7/26/1955,20.5,27.2,17,10.2,1,9.5
khaishi,Khaishi,700,42.57,42.11,7/27/1955,19.2,24.7,16.4,8.3,1,14.5
khaishi,Khaishi,700,42.57,42.11,7/28/1955,20.9,28.2,14.9,13.3,1,0
khaishi,Khaishi,700,42.57,42.11,7/29/1955,18.4,24.7,15,9.7,1,0
khaishi,Khaishi,700,42.57,42.11,7/30/1955,19.7,27.4,15.6,11.8,1,20.8
khaishi,Khaishi,700,42.57,42.11,7/31/1955,20.4,31.2,14.3,16.9,1,2.8
khaishi,Khaishi,700,42.57,42.11,8/1/1955,19,28.8,14.5,14.3,1,12.7
khaishi,Khaishi,700,42.57,42.11,8/2/1955,20.9,28.8,15,13.8,1,0
khaishi,Khaishi,700,42.57,42.11,8/3/1955,21.2,27.4,15.2,12.2,1,0
khaishi,Khaishi,700,42.57,42.11,8/4/1955,21.7,27.3,17.4,9.9,1,0
khaishi,Khaishi,700,42.57,42.11,8/5/1955,21.3,29.6,15.6,14,1,0
khaishi,Khaishi,700,42.57,42.11,8/6/1955,19.5,23.9,17.5,6.4,1,5.2
khaishi,Khaishi,700,42.57,42.11,8/7/1955,20,25.9,16.6,9.3,1,0.4
khaishi,Khaishi,700,42.57,42.11,8/8/1955,19.6,25.7,16.5,9.2,1,2.1
khaishi,Khaishi,700,42.57,42.11,8/9/1955,21.3,30,16.5,13.5,1,0
khaishi,Khaishi,700,42.57,42.11,8/10/1955,23.2,29.6,17.6,12,1,0
khaishi,Khaishi,700,42.57,42.11,8/11/1955,24.1,34.6,16.5,18.1,1,0
khaishi,Khaishi,700,42.57,42.11,8/12/1955,22.7,27.8,17.5,10.3,1,0
khaishi,Khaishi,700,42.57,42.11,8/13/1955,21.6,25.2,18.5,6.7,1,12.9
khaishi,Khaishi,700,42.57,42.11,8/14/1955,19.2,23.9,17.4,6.5,1,4.6
khaishi,Khaishi,700,42.57,42.11,8/15/1955,18.2,22.8,15.4,7.4,1,0.6
khaishi,Khaishi,700,42.57,42.11,8/16/1955,16.9,19.5,15.4,4.1,1,2.5
khaishi,Khaishi,700,42.57,42.11,8/17/1955,19.2,27.8,13.9,13.9,1,0
khaishi,Khaishi,700,42.57,42.11,8/18/1955,20.4,29.7,13.8,15.9,1,0
khaishi,Khaishi,700,42.57,42.11,8/19/1955,21.1,27.2,15.8,11.4,1,1.6
khaishi,Khaishi,700,42.57,42.11,8/20/1955,21.6,28.2,16,12.2,1,0
khaishi,Khaishi,700,42.57,42.11,8/21/1955,21.9,29.7,15.7,14,1,0
khaishi,Khaishi,700,42.57,42.11,8/22/1955,20.8,27.8,14.4,13.4,1,0
khaishi,Khaishi,700,42.57,42.11,8/23/1955,22.6,28.4,17.7,10.7,1,0
khaishi,Khaishi,700,42.57,42.11,8/24/1955,18.5,23.5,17,6.5,1,27.6
khaishi,Khaishi,700,42.57,42.11,8/25/1955,17.4,24.2,13.2,11,1,0.4
khaishi,Khaishi,700,42.57,42.11,8/26/1955,17.2,24.4,12.9,11.5,1,1.3
khaishi,Khaishi,700,42.57,42.11,8/27/1955,18,24.7,12.8,11.9,1,0
khaishi,Khaishi,700,42.57,42.11,8/28/1955,17.6,24.6,12.5,12.1,1,0
khaishi,Khaishi,700,42.57,42.11,8/29/1955,19.2,26,13.6,12.4,1,0
khaishi,Khaishi,700,42.57,42.11,8/30/1955,17.9,22.6,14.3,8.3,1,25.8
khaishi,Khaishi,700,42.57,42.11,8/31/1955,17.5,24.7,13.5,11.2,1,0.7
khaishi,Khaishi,700,42.57,42.11,9/1/1955,18.6,25.8,12.4,13.4,1,0
khaishi,Khaishi,700,42.57,42.11,9/2/1955,19,28.2,13,15.2,1,0
khaishi,Khaishi,700,42.57,42.11,9/3/1955,19.8,28.8,14.5,14.3,1,0
khaishi,Khaishi,700,42.57,42.11,9/4/1955,18,21.3,15.3,6,1,0.4
khaishi,Khaishi,700,42.57,42.11,9/5/1955,18.3,26.4,12.7,13.7,1,0
khaishi,Khaishi,700,42.57,42.11,9/6/1955,18.7,27.6,13.2,14.4,1,0
khaishi,Khaishi,700,42.57,42.11,9/7/1955,20.5,28.2,15.5,12.7,1,0
khaishi,Khaishi,700,42.57,42.11,9/8/1955,19.7,27.2,16,11.2,1,9.4
khaishi,Khaishi,700,42.57,42.11,9/9/1955,17.1,20.8,14.8,6,1,23.1
khaishi,Khaishi,700,42.57,42.11,9/10/1955,16.1,18.7,13.2,5.5,1,1.1
khaishi,Khaishi,700,42.57,42.11,9/11/1955,16.8,22,14,8,1,0.3
khaishi,Khaishi,700,42.57,42.11,9/12/1955,17.9,23.5,14,9.5,1,2.1
khaishi,Khaishi,700,42.57,42.11,9/13/1955,18.6,24.7,14.4,10.3,1,0
khaishi,Khaishi,700,42.57,42.11,9/14/1955,18.1,26.7,12.3,14.4,1,0.7
khaishi,Khaishi,700,42.57,42.11,9/15/1955,17.4,26.7,11.4,15.3,1,0
khaishi,Khaishi,700,42.57,42.11,9/16/1955,16.4,26.2,10.5,15.7,1,0
khaishi,Khaishi,700,42.57,42.11,9/17/1955,17,27.7,11.7,16,1,0
khaishi,Khaishi,700,42.57,42.11,9/18/1955,17.9,27.2,12,15.2,1,0
khaishi,Khaishi,700,42.57,42.11,9/19/1955,18.6,27,12.4,14.6,1,0
khaishi,Khaishi,700,42.57,42.11,9/20/1955,17.8,24.6,15.2,9.4,1,8.3
khaishi,Khaishi,700,42.57,42.11,9/21/1955,17.9,25.7,13.1,12.6,1,0.3
khaishi,Khaishi,700,42.57,42.11,9/22/1955,18.8,25.7,12.3,13.4,1,0
khaishi,Khaishi,700,42.57,42.11,9/23/1955,18.4,25,12.9,12.1,1,0
khaishi,Khaishi,700,42.57,42.11,9/24/1955,17.6,24.9,14,10.9,1,2.2
khaishi,Khaishi,700,42.57,42.11,9/25/1955,15.6,19.3,13.5,5.8,1,17.9
khaishi,Khaishi,700,42.57,42.11,9/26/1955,12.7,16.3,10.6,5.7,1,21.3
khaishi,Khaishi,700,42.57,42.11,9/27/1955,12.7,19.3,7.7,11.6,1,0
khaishi,Khaishi,700,42.57,42.11,9/28/1955,14,19.8,10.4,9.4,1,0
khaishi,Khaishi,700,42.57,42.11,9/29/1955,15.5,24.2,10.8,13.4,1,0
khaishi,Khaishi,700,42.57,42.11,9/30/1955,15.3,24.6,10.3,14.3,1,0
khaishi,Khaishi,700,42.57,42.11,10/1/1955,14.5,19.5,11.2,8.3,1,0.2
khaishi,Khaishi,700,42.57,42.11,10/2/1955,14.2,23.3,10.2,13.1,1,0
khaishi,Khaishi,700,42.57,42.11,10/3/1955,15.6,24.4,11.4,13,1,0
khaishi,Khaishi,700,42.57,42.11,10/4/1955,15.7,21.3,12,9.3,1,0
khaishi,Khaishi,700,42.57,42.11,10/5/1955,16.6,23.3,13.2,10.1,1,0
khaishi,Khaishi,700,42.57,42.11,10/6/1955,14.6,18,11.8,6.2,1,26.8
khaishi,Khaishi,700,42.57,42.11,10/7/1955,13.2,18.3,10.6,7.7,1,38.9
khaishi,Khaishi,700,42.57,42.11,10/8/1955,13.6,21,11,10,1,1.1
khaishi,Khaishi,700,42.57,42.11,10/9/1955,13.7,21.1,9.2,11.9,1,0
khaishi,Khaishi,700,42.57,42.11,10/10/1955,13.9,22.3,8.9,13.4,1,0
khaishi,Khaishi,700,42.57,42.11,10/11/1955,13.1,21.7,8.9,12.8,1,0
khaishi,Khaishi,700,42.57,42.11,10/12/1955,12.3,18.8,8.7,10.1,1,0
khaishi,Khaishi,700,42.57,42.11,10/13/1955,10.8,18.3,6.7,11.6,1,0
khaishi,Khaishi,700,42.57,42.11,10/14/1955,11.4,18.6,6.9,11.7,1,0
khaishi,Khaishi,700,42.57,42.11,10/15/1955,12.8,19.3,8.7,10.6,1,0
khaishi,Khaishi,700,42.57,42.11,10/16/1955,13.2,20,9.4,10.6,1,0
