station_id,elevation_m,date,temp_c_mean,temp_c_min,temp_c_max,rh_pct_mean,rh_pct_min,rh_pct_max,dewpoint_c_mean,dewpoint_c_min,dewpoint_c_max,n_obs_day
LlanPort,4760,9/21/2006,2.958333333,0,10.5,82.075,60.1,93,0.0375,-1.5,3.5,24
LlanPort,4760,9/22/2006,2.958333333,-0.5,10,81.39583333,54.1,93,-0.104166667,-2.3,3.6,24
LlanPort,4760,9/23/2006,4.166666667,-1,14.5,72.11666667,35,100,-1.1625,-3.4,0.8,24
LlanPort,4760,9/24/2006,2.6875,-1,10.5,69.68333333,44.8,90.4,-2.491666667,-5.9,1.4,24
LlanPort,4760,9/25/2006,0.880952381,0,4.5,91.1,83.3,100,-0.414285714,-2,2.7,21
LlanPort,4760,9/26/2006,1.065217391,0,4.5,90.47826087,76.3,99.2,-0.343478261,-3.1,2.9,23
LlanPort,4760,9/27/2006,3.020833333,-1,11.5,70.625,46.9,88.9,-2.0125,-8,1.9,24
LlanPort,4760,9/28/2006,2.604166667,-0.5,11.5,72.86666667,44.4,88.3,-2.0375,-4,0.5,24
LlanPort,4760,9/29/2006,3.354166667,-1,12,71.53333333,42.6,91.6,-1.658333333,-3.9,0.5,24
LlanPort,4760,9/30/2006,4.708333333,-0.5,13,66.02916667,40.2,85,-1.629166667,-2.9,0.9,24
LlanPort,4760,10/1/2006,4.875,-0.5,14.5,67.475,38.1,88.9,-1.195833333,-3.5,0.5,24
LlanPort,4760,10/2/2006,2.145833333,0,8,88.24166667,64.4,98.5,0.345833333,-1.6,3.5,24
LlanPort,4760,10/3/2006,3.770833333,-0.5,12.5,76.25833333,43.7,95.7,-0.445833333,-2.5,2.7,24
LlanPort,4760,10/4/2006,4.020833333,-1,11,71.85416667,54.3,85.8,-0.8,-4,3.2,24
LlanPort,4760,10/5/2006,2.541666667,0,7,87.00833333,75.6,96.5,0.579166667,-2,3.3,24
LlanPort,4760,10/6/2006,1.785714286,0,6,93.71428571,87.3,99.2,0.876190476,-0.6,4.6,21
LlanPort,4760,10/7/2006,4.391304348,0.5,11,81.90434783,55.7,97.8,1.343478261,-0.9,3.7,23
LlanPort,4760,10/8/2006,4.291666667,0,12.5,81.93333333,49.1,96.4,1.225,-0.8,5,24
LlanPort,4760,10/9/2006,4.326086957,1,15,85.15652174,49.1,95.8,1.817391304,-0.4,4.6,23
LlanPort,4760,10/10/2006,6,0,16.5,65.37083333,29.6,94.3,-0.916666667,-3.3,1.5,24
LlanPort,4760,10/11/2006,4.9375,-0.5,12,61.71666667,39,80.3,-2.254166667,-5.5,0.6,24
LlanPort,4760,10/12/2006,2.333333333,-1.5,8,70.725,54.5,83.9,-2.529166667,-5.9,0.2,24
LlanPort,4760,10/13/2006,4.083333333,-0.5,12,68.32916667,45.4,89.6,-1.575,-4.5,1.7,24
LlanPort,4760,10/14/2006,4.5625,-0.5,12.5,45.9125,27.9,73.8,-6.775,-10.3,-2.7,24
LlanPort,4760,10/15/2006,4.916666667,-0.5,12,38.2875,24.1,54.7,-8.466666667,-15.4,-3.3,24
LlanPort,4760,10/16/2006,4.770833333,-3.5,11.5,40,24.4,70.4,-8.254166667,-12,-2,24
LlanPort,4760,10/17/2006,3.979166667,-1.5,12.5,36.39583333,24.7,51.9,-9.983333333,-15.9,-5.4,24
LlanPort,4760,10/18/2006,2.979166667,-3,12,36.80833333,23.5,58.1,-10.90416667,-16.6,-6.8,24
LlanPort,4760,10/19/2006,4.916666667,-2,12,30.4625,21.8,41.6,-11.34583333,-15,-5.7,24
LlanPort,4760,10/20/2006,2.958333333,-0.5,9.5,61.6875,33.2,91.5,-4.1125,-13.4,1.3,24
LlanPort,4760,10/21/2006,1.208333333,-0.5,4,91.26666667,80.8,98.5,-0.0625,-2.1,2.6,24
LlanPort,4760,10/22/2006,3.208333333,0.5,8.5,85.34166667,66.6,94.3,0.920833333,-1,5.5,24
LlanPort,4760,10/23/2006,2.520833333,0.5,8,90.10833333,74.8,96.4,1.020833333,-0.8,5.3,24
LlanPort,4760,10/24/2006,2.6875,0.5,9,90.06666667,70.6,97.1,1.15,-0.5,4.1,24
LlanPort,4760,10/25/2006,2.729166667,1,11,92.425,60.7,100,1.5375,-0.1,6.8,24
LlanPort,4760,10/26/2006,3,0.5,9,89.875,70.3,100,1.433333333,-0.3,5.3,24
LlanPort,4760,10/27/2006,2.105263158,0.5,7.5,96.30526316,87.7,99.2,1.578947368,-0.5,5.6,19
LlanPort,4760,10/28/2006,3,1,8.5,90.91304348,76.4,98.5,1.626086957,0,5.6,23
LlanPort,4760,10/29/2006,4.625,1,12,80.19583333,47.3,97.1,1.208333333,-1.2,5,24
LlanPort,4760,10/30/2006,2.847826087,0.5,9.5,92.94347826,69.5,98.5,1.77826087,-0.2,5.7,23
LlanPort,4760,11/1/2006,2.217391304,-2,8,90.52173913,73.7,100,0.769565217,-2.3,3.9,23
LlanPort,4760,11/2/2006,0.181818182,-2,4,92.70454545,84.1,99.2,-0.868181818,-2.7,2.6,22
LlanPort,4760,11/3/2006,3.8125,-1.5,12,68.4875,44.9,94.9,-1.929166667,-8.5,3.4,24
LlanPort,4760,11/4/2006,4.666666667,0,12.5,37.32083333,22.6,46.9,-8.954166667,-14,-4,24
LlanPort,4760,11/5/2006,5.604166667,-1,14.5,37.2,26,51.8,-8.204166667,-13.8,-2.8,24
LlanPort,4760,11/6/2006,4.125,0,11.5,49.22083333,32,63,-5.895833333,-7.7,-2.5,24
LlanPort,4760,11/7/2006,2.895833333,0,6.5,55.13333333,42.9,68.6,-5.395833333,-9.4,-2.6,24
LlanPort,4760,11/8/2006,1.75,-3,9.5,82.69583333,52.1,97.8,-1.083333333,-8.2,3.9,24
LlanPort,4760,11/9/2006,2.604166667,0.5,8,89.3625,74.8,99.2,0.995833333,-2.4,3.8,24
LlanPort,4760,11/10/2006,1.916666667,0.5,4.5,94.94583333,89.6,100,1.195833333,-1,3.9,24
LlanPort,4760,11/11/2006,1.795454545,0.5,5,96.53636364,89.3,100,1.309090909,0,4.4,22
LlanPort,4760,11/13/2006,3.979166667,0,12,83.85416667,56.8,96.4,1.329166667,-1.2,5.2,24
LlanPort,4760,11/14/2006,5.1875,0,12.5,70.50416667,46,93.6,-0.145833333,-4.3,3.3,24
LlanPort,4760,11/15/2006,3.041666667,-0.5,8.5,79.8375,54.4,95,-0.320833333,-3.2,3.4,24
LlanPort,4760,11/16/2006,3.604166667,0,11,80.36666667,49.6,94.3,0.2625,-1.8,2.1,24
LlanPort,4760,11/17/2006,1.833333333,-0.5,9,92.48888889,70.8,100,0.694444444,-1,5.2,18
LlanPort,4760,11/18/2006,1.9,0,7.5,93.655,78.4,100,0.965,-1.3,4,20
LlanPort,4760,11/20/2006,1.825,-1,8,90.72,71.1,97.8,0.41,-1.8,4.4,20
LlanPort,4760,11/21/2006,3.590909091,0,9.5,84.08181818,63.4,96.4,1,-1.3,4.1,22
LlanPort,4760,11/22/2006,3.880952381,1,12,89.01428571,59.1,99.2,2.047619048,0.2,5.7,21
LlanPort,4760,11/23/2006,2.80952381,0.5,8,93.3047619,76.3,100,1.8,-0.8,4.6,21
LlanPort,4760,11/24/2006,1.944444444,0,5.5,93.10555556,84.3,98.5,0.944444444,-0.8,5,18
LlanPort,4760,11/25/2006,2.523809524,0.5,7.5,91.54285714,80.7,97.8,1.276190476,-1.2,4.4,21
LlanPort,4760,11/26/2006,2.568181818,0.5,7,93.73636364,85.8,97.9,1.654545455,-0.3,4.8,22
LlanPort,4760,11/27/2006,3,0.5,10,91.655,65.3,100,1.695,-0.9,4.4,20
LlanPort,4760,11/28/2006,2.25,0,9.5,91.4,70.9,99.2,0.905,-1.1,4.7,20
LlanPort,4760,11/29/2006,4.604166667,-1,13,77.75833333,50.5,95.8,0.7625,-3.4,4.8,24
LlanPort,4760,11/30/2006,3.434782609,0.5,10,89.02608696,65.3,100,1.673913043,-0.5,4.3,23
LlanPort,4760,12/1/2006,4.6875,0.5,15,77.93333333,43.5,95,0.858333333,-0.8,4,24
LlanPort,4760,12/2/2006,5.395833333,-1,15.5,71.90833333,29.2,97.8,-0.079166667,-6.7,3.9,24
LlanPort,4760,12/3/2006,5.75,0.5,14,77.67083333,48,97.1,1.683333333,-0.4,5.4,24
LlanPort,4760,12/4/2006,3.456521739,0.5,10.5,87.5173913,67.2,100,1.447826087,-0.7,5.6,23
LlanPort,4760,12/5/2006,3.347826087,1,10,86.98695652,72.8,99.2,1.339130435,-2,5.5,23
LlanPort,4760,12/6/2006,3.119047619,1,6.5,94.6952381,82.8,99.2,2.342857143,0.6,5.7,21
LlanPort,4760,12/7/2006,5.347826087,1.5,15.5,87.75217391,53.1,99.2,3.282608696,0.8,7.2,23
LlanPort,4760,12/8/2006,2.071428571,0.5,5.5,96.14761905,86.9,100,1.519047619,-0.1,4.2,21
LlanPort,4760,12/9/2006,1.904761905,0,5,95.54285714,86.9,100,1.261904762,-0.4,3.3,21
LlanPort,4760,12/11/2006,3.388888889,0.5,9.5,92.44444444,70,100,2.216666667,-0.9,6.1,18
LlanPort,4760,12/12/2006,2.825,0,8.5,93.58,72.3,100,1.84,-1,6,20
LlanPort,4760,12/13/2006,2.025,0,7.5,94.995,80,100,1.27,-0.5,5.6,20
LlanPort,4760,12/14/2006,4.708333333,1,10,81.3125,58.1,91.1,1.704166667,-1.4,6.6,24
LlanPort,4760,12/15/2006,2.9375,-1,9,86.2125,69.9,97.8,0.8,-1.9,4.7,24
LlanPort,4760,12/16/2006,3.782608696,1,10.5,89.14347826,63.6,98.5,2.056521739,0,5.7,23
LlanPort,4760,12/17/2006,3.090909091,1,10,95.62727273,73,100,2.431818182,0.6,5.4,22
LlanPort,4760,12/19/2006,3.239130435,0.5,10,91.0826087,72.4,98.5,1.856521739,-0.2,5.6,23
LlanPort,4760,12/22/2006,3.027777778,0,9,93.44444444,72.9,100,2.016666667,-0.5,5.4,18
LlanPort,4760,12/23/2006,3,0.5,10.5,90.86956522,73.1,100,1.582608696,-0.5,6.6,23
LlanPort,4760,12/24/2006,2.69047619,0.5,9.5,92.91904762,77.7,100,1.638095238,-1,6.9,21
LlanPort,4760,12/25/2006,1.636363636,0,5.5,96.8,91.3,100,1.186363636,-0.7,4.8,22
LlanPort,4760,12/26/2006,2.166666667,-1,8,94.36111111,87,99.3,1.344444444,-1.7,6.3,18
LlanPort,4760,12/29/2006,2.875,0.5,9,93.45,76,99.2,1.9,-0.2,6.7,24
LlanPort,4760,12/30/2006,3.173913043,0,11,88.96521739,66.5,99.2,1.434782609,-0.9,6,23
LlanPort,4760,12/31/2006,2.681818182,0,8.5,91.35,73,100,1.363636364,-0.8,6.5,22
LlanPort,4760,1/1/2007,2.947368421,1,7,95.37368421,91.2,98.5,2.284210526,0.5,6.4,19
LlanPort,4760,1/2/2007,3.934782609,1.5,10,91.9,69.1,100,2.652173913,0,6,23
LlanPort,4760,1/3/2007,3.5,0.5,11.5,91.4625,57.5,98.5,2.145833333,0,5.1,24
LlanPort,4760,1/5/2007,2.857142857,0,7,92.6047619,81.7,99.3,1.761904762,-0.5,4.7,21
LlanPort,4760,1/6/2007,3.913043478,1,10,88.19565217,61.3,99.2,2.030434783,-0.2,4.2,23
LlanPort,4760,1/7/2007,4.895833333,1,13,84.55416667,54.4,99.2,2.325,-0.4,6.5,24
LlanPort,4760,1/8/2007,3.875,0.5,12.5,86.37083333,62.8,97.8,1.608333333,-0.3,5.6,24
LlanPort,4760,1/9/2007,3.854166667,0,10,83.57083333,56.4,97.1,1.141666667,-1.2,3.6,24
LlanPort,4760,1/10/2007,2.590909091,0.5,8.5,91.56363636,78.4,98.6,1.322727273,-1.1,5.4,22
LlanPort,4760,1/12/2007,4.166666667,0,11.5,85.25416667,56.1,96.4,1.745833333,-0.9,5.6,24
LlanPort,4760,1/13/2007,3.791666667,0,9.5,84.725,67.9,96.4,1.329166667,-0.9,5.1,24
LlanPort,4760,1/14/2007,5.833333333,0.5,13.5,68.95,53.2,89.7,0.358333333,-3.8,4.8,24
LlanPort,4760,1/15/2007,6.458333333,2,17.5,72.48333333,40.1,88.5,1.533333333,-0.4,5.8,24
LlanPort,4760,1/16/2007,3.681818182,2,7,90.81363636,81.8,97.9,2.309090909,-0.2,5.2,22
LlanPort,4760,1/17/2007,3.795454545,1.5,10,93.56818182,76.1,100,2.836363636,0.3,6,22
LlanPort,4760,1/18/2007,3.142857143,2,5.5,95.62380952,90.6,100,2.514285714,1.4,4.8,21
LlanPort,4760,1/19/2007,4.304347826,0.5,11.5,89.50434783,70.8,100,2.62173913,0.2,6.5,23
LlanPort,4760,1/20/2007,3.75,0.5,9,88.76666667,68.9,98.5,1.979166667,-0.2,4.6,24
LlanPort,4760,1/21/2007,3.833333333,1.5,7,87.89583333,65.4,98.5,1.958333333,-0.3,5.3,24
LlanPort,4760,1/22/2007,2.710526316,1,5,95.31052632,91.1,100,2.036842105,0.7,4.9,19
LlanPort,4760,1/23/2007,2.913043478,1,6.5,93.97391304,84.6,99.2,2.034782609,0.6,4.1,23
LlanPort,4760,1/24/2007,4.568181818,2,10,91.64545455,75.1,98.5,3.277272727,0.9,7.3,22
LlanPort,4760,1/26/2007,3.613636364,1.5,8.5,93.28636364,80.1,100,2.609090909,0.5,5.3,22
LlanPort,4760,1/27/2007,3.25,1.5,10,94.075,78.8,99.3,2.375,0.9,6.5,20
LlanPort,4760,1/28/2007,3.979166667,2,9,89.675,69.9,100,2.391666667,0.4,4.1,24
LlanPort,4760,1/29/2007,3.571428571,2,9.5,95.0952381,81.5,99.3,2.847619048,1,6.5,21
LlanPort,4760,1/30/2007,4.391304348,2,10,92.35652174,79.9,99.2,3.234782609,1.3,6.8,23
LlanPort,4760,1/31/2007,4.543478261,1.5,13,86.7826087,61.2,98.5,2.37826087,0.8,5.7,23
LlanPort,4760,2/1/2007,3.652173913,1,8,93.75217391,78.4,100,2.713043478,0.8,5.6,23
LlanPort,4760,2/2/2007,3.760869565,2,6.5,90.9,80.5,99.2,2.4,0.6,4.5,23
LlanPort,4760,2/3/2007,4.347826087,2,10.5,92.83913043,65,100,3.230434783,0.6,5.8,23
LlanPort,4760,2/4/2007,4.565217391,2.5,10.5,94.57826087,75.7,100,3.739130435,1.9,7,23
LlanPort,4760,2/5/2007,5.541666667,2.5,14,90.11666667,64.8,100,3.941666667,1.2,7.5,24
LlanPort,4760,2/6/2007,5.979166667,1,13.5,80.95833333,52.4,99.2,2.570833333,0.2,6,24
LlanPort,4760,2/7/2007,6.333333333,0,16.5,77.85,46.8,98.5,2.295833333,-2,5.5,24
LlanPort,4760,2/8/2007,4.375,1.5,8.5,87.60416667,67.3,100,2.4125,0.4,5.3,24
LlanPort,4760,2/9/2007,5.520833333,1.5,14.5,81.18333333,48.4,98.5,2.125,-0.3,5.4,24
LlanPort,4760,2/10/2007,3.277777778,1.5,7.5,95.94444444,81.8,100,2.677777778,1.4,4.8,18
LlanPort,4760,2/14/2007,2.523809524,1,7,94.52857143,75.6,99.2,1.695238095,0.7,4.3,21
LlanPort,4760,2/15/2007,2.863636364,0.5,9,90.4,68.7,100,1.359090909,-0.2,4.1,22
LlanPort,4760,2/16/2007,2.6875,-0.5,10,82.67083333,62.4,96.4,-0.125,-2.6,4.1,24
LlanPort,4760,2/17/2007,1.8125,-2,9.5,72.94166667,52.9,82.7,-2.695833333,-5,0.7,24
LlanPort,4760,2/18/2007,3.5,-3,12,58.2875,28.7,90.2,-4.554166667,-10,1.3,24
LlanPort,4760,2/19/2007,3.083333333,-2.5,12.5,73.5125,43.6,93.5,-1.741666667,-3.8,2.4,24
LlanPort,4760,2/20/2007,2.541666667,-1.5,10.5,66.175,42.4,91.5,-3.604166667,-10.3,2.3,24
LlanPort,4760,2/21/2007,4.5,-3,12,42.10416667,13.5,62.3,-8.070833333,-17.9,-1.7,24
LlanPort,4760,2/22/2007,4.6875,-1.5,13.5,59.89166667,42.5,78.7,-2.629166667,-6.9,1.5,24
LlanPort,4760,2/23/2007,2.125,1,4,89.475,80.2,96.4,0.5625,-1.1,2.3,24
LlanPort,4760,2/24/2007,3.895833333,0.5,10,83.76666667,63.9,95,1.291666667,-0.5,4.4,24
LlanPort,4760,2/25/2007,1.239130435,0,3,95.65652174,90.3,99.2,0.626086957,-0.5,2.6,23
LlanPort,4760,2/26/2007,1.645833333,0.5,4,94.22916667,90.5,98.5,0.820833333,-0.6,3.1,24
LlanPort,4760,2/27/2007,4.25,0,13.5,79.63333333,47.9,95.1,0.733333333,-2.2,3.4,24
LlanPort,4760,2/28/2007,3.522727273,0.5,10,86.8,62.2,97.1,1.413636364,-1,5,22
LlanPort,4760,3/1/2007,1.8,0.5,4,92.43,85.2,100,0.7,-1.2,4,20
LlanPort,4760,3/2/2007,2.095238095,1,5,95.08571429,88,100,1.39047619,0.1,3.8,21
LlanPort,4760,3/3/2007,2.5,1.5,7,93.82631579,80,97.8,1.594736842,0.7,3.8,19
LlanPort,4760,3/4/2007,1.675,0,5,95.225,89.7,99.2,0.995,-0.6,3.9,20
LlanPort,4760,3/5/2007,2.289473684,0.5,8.5,95.45789474,77.3,100,1.605263158,0,5.3,19
LlanPort,4760,3/8/2007,2.642857143,0.5,7.5,93.64761905,80.1,99.2,1.704761905,0.1,5.7,21
LlanPort,4760,3/9/2007,2.545454545,1,7,94.73181818,85.2,100,1.777272727,0,4.7,22
LlanPort,4760,3/10/2007,2.447368421,0.5,6,96.61578947,93,99.2,1.968421053,0,5.6,19
LlanPort,4760,3/11/2007,2.6,0.5,7,94.735,82.8,100,1.815,-0.3,4.9,20
LlanPort,4760,3/12/2007,2.071428571,0,6,94.07142857,79.9,100,1.204761905,-1,4.2,21
LlanPort,4760,3/13/2007,2.454545455,0.5,6.5,95.58181818,85.6,100,1.804545455,-0.1,6.2,22
LlanPort,4760,3/17/2007,1.928571429,0.5,7.5,95.84761905,88.2,100,1.333333333,-0.4,5.8,21
LlanPort,4760,3/20/2007,2.447368421,0.5,7,92.63157895,80.6,99.2,1.352631579,-0.4,4.7,19
LlanPort,4760,3/21/2007,4.375,0.5,14,83.37083333,44.7,100,1.433333333,-0.3,4.7,24
LlanPort,4760,3/22/2007,3.145833333,0,10.5,87.56666667,66.8,97.8,1.2125,-1.6,4.6,24
LlanPort,4760,3/23/2007,2.619047619,0.5,7,92.45714286,73.3,100,1.466666667,-0.1,4.7,21
LlanPort,4760,3/24/2007,0.973684211,0,2.5,97.22631579,92.9,100,0.589473684,-1,2.3,19
LlanPort,4760,3/25/2007,1.636363636,-1,9,91.42727273,67,96.4,0.359090909,-2.3,5.3,22
LlanPort,4760,3/26/2007,2.708333333,0,8,88.05416667,74,98.5,0.895833333,-2.3,5.2,24
LlanPort,4760,3/27/2007,2.714285714,0.5,8,92.42857143,76.3,100,1.576190476,-0.2,4.3,21
LlanPort,4760,3/29/2007,1.710526316,0.5,4,96.28947368,89.3,100,1.184210526,0,3,19
LlanPort,4760,3/30/2007,2.05,0.5,7,94.245,80,100,1.205,-0.1,3.8,20
LlanPort,4760,3/31/2007,2.913043478,0.5,10,88.76956522,63.1,100,1.156521739,-0.7,5,23
LlanPort,4760,4/2/2007,2.568181818,0.5,8,90.82272727,73.2,100,1.140909091,-0.8,3.8,22
LlanPort,4760,4/3/2007,3.333333333,1,8,91.9625,78,100,2.104166667,0.7,4.8,24
LlanPort,4760,4/4/2007,3.075,0.5,8,92.985,78,100,2.005,-0.1,4.6,20
LlanPort,4760,4/5/2007,3.681818182,0.5,11.5,91.35,66.6,100,2.309090909,-0.3,6.6,22
LlanPort,4760,4/9/2007,2.184210526,-0.5,8,94.6,83.1,100,1.394736842,-1.1,6.2,19
LlanPort,4760,4/11/2007,2.869565217,-0.5,9.5,89.16521739,73.4,99.2,1.204347826,-1.7,6.5,23
LlanPort,4760,4/12/2007,2.285714286,0.5,7.5,93.78571429,78.4,100,1.366666667,-0.6,5.4,21
LlanPort,4760,4/13/2007,2.452380952,0.5,10,91.45238095,71.5,98.6,1.166666667,-1.1,5.1,21
LlanPort,4760,4/14/2007,2.5625,0.5,7,92.64166667,73.5,98.5,1.4625,0.1,3.6,24
