date,delta_temp_c_mean,delta_rh_pct_mean,delta_dewpoint_c_mean,year,month
2009-10-31,-4.2124999998,0.4466666640000028,-3.9675000002000003,2009,10
2009-11-30,-3.4118055556666667,-3.1609722213333336,-3.987777778033333,2009,11
2009-12-31,-3.7653225803548387,1.1665322590322582,-3.340443548387097,2009,12
2010-01-31,-3.903225806612903,1.5063172041935495,-3.2466666667419353,2010,1
2010-02-28,-4.225148810178571,1.6872023807142849,-3.574895833357143,2010,2
2010-03-31,-4.302822580548387,1.362499999354839,-3.7695060483548386,2010,3
2010-04-30,-4.2134722228333334,-2.5587499993333322,-4.3615277777333334,2010,4
2010-05-31,-3.209005376032258,-7.099999999032257,-4.405608198870968,2010,5
2010-06-30,-3.1112500000666667,-5.990972221999999,-3.989409722166667,2010,6
2010-07-31,-3.0209677418709675,-7.663709677741935,-4.3987701612580645,2010,7
2010-08-31,-3.3885416667,-6.438333332000001,-4.94250000035,2010,8
2010-09-30,,,,2010,9
2010-10-31,,,,2010,10
2010-11-30,,,,2010,11
2010-12-31,,,,2010,12
2011-01-31,,,,2011,1
2011-02-28,,,,2011,2
2011-03-31,,,,2011,3
2011-04-30,,,,2011,4
2011-05-31,,,,2011,5
2011-06-30,,,,2011,6
2011-07-31,,,,2011,7
2011-08-31,,,,2011,8
2011-09-30,,,,2011,9
2011-10-31,,,,2011,10
2011-11-30,,,,2011,11
2011-12-31,,,,2011,12
2012-01-31,-4.23541666625,3.0437500024999977,-3.5118229165,2012,1
2012-02-29,-4.2255747128965515,-0.14267241379310452,-4.068800287310345,2012,2
2012-03-31,-5.117741935903227,6.90094086,-3.4329973118709676,2012,3
2012-04-30,-4.455416666566666,3.158888889666667,-3.6325833332333333,2012,4
2012-05-31,-4.575940859935484,1.5267473122580655,-3.706680107612903,2012,5
2012-06-30,-4.541666666833334,4.531527777,-3.0338541667666665,2012,6
2012-07-31,-3.38541666675,-4.890625002499997,-3.7932812499999997,2012,7
2012-08-31,,,,2012,8
2012-09-30,,,,2012,9
2012-10-31,,,,2012,10
2012-11-30,,,,2012,11
2012-12-31,,,,2012,12
2013-01-31,-4.168750000499999,1.9749999999999972,-3.3908333332,2013,1
2013-02-28,-3.8132440476428573,0.46770833392856864,-3.5132440476071425,2013,2
2013-03-31,-3.9973118281290323,1.2068548387096782,-3.6139784945161293,2013,3
2013-04-30,-4.046527777733334,-1.3513888886666676,-4.063333333166667,2013,4
2013-05-31,-3.895833333258065,0.4973118274193536,-3.4516129032258065,2013,5
2013-06-30,-3.7694444445333333,4.130555555666666,-2.6179166666666664,2013,6
2013-07-31,-4.823924731258065,8.680107527096775,-2.3211021503870968,2013,7
2013-08-31,-3.965725806419355,2.9888440854838714,-2.7481182795483874,2013,8
2013-09-30,-4.339583332833333,4.6555555559999995,-2.6376388887666664,2013,9
2013-10-31,-4.190860215032258,3.6400537635483885,-3.0620967743225807,2013,10
2013-11-30,-2.9923611110333335,0.34708333233333283,-2.5909722222,2013,11
2013-12-31,-3.456317204129032,-0.7405913970967756,-3.384677419387097,2013,12
2014-01-31,-3.529569892387097,-0.6250000006451605,-3.4647849461935483,2014,1
2014-02-28,-4.078125000107144,2.560267857499999,-3.418154761892857,2014,2
2014-03-31,-3.9630376343870966,1.2020161293548413,-3.6107526880967744,2014,3
2014-04-30,-4.7069444446999995,6.250277779,-3.157361110966667,2014,4
2014-05-31,-4.021929824315789,1.896710525263156,-3.429385964894737,2014,5
2014-06-30,-3.9479166670000003,3.364583334999999,-2.9958333335,2014,6
2014-07-31,-4.921370967741935,7.538709676451612,-2.745161290290323,2014,7
2014-08-31,-4.411290322290323,4.03655913967742,-3.116397849419355,2014,8
2014-09-30,-4.552083333366666,6.427222221000002,-2.6243055556000003,2014,9
2014-10-31,-4.91532258032258,8.412500000322582,-2.726612903225807,2014,10
2014-11-30,-3.1729166667333337,-0.11375000033333507,-2.8981944443333334,2014,11
2014-12-31,-3.5739247312258065,0.15188172064516275,-3.331182795612903,2014,12
2015-01-31,-4.314516128967742,3.23413978548387,-3.365725806516129,2015,1
2015-02-28,-3.9836309525357145,0.8574404774999991,-3.600000000035714,2015,2
2015-03-31,-4.282930107677419,3.07540322548387,-3.503225806516129,2015,3
2015-04-30,-4.755555555666666,6.2293055556666665,-3.2776388890000003,2015,4
2015-05-31,-3.8797043011290326,2.4365591383870955,-3.122446236548387,2015,5
2015-06-30,-4.429861110866667,4.951944444333333,-2.9869444444,2015,6
2015-07-31,-2.885112085722222,-4.788937620555554,-3.623793859722222,2015,7
